opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location,subsidiary_of
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,Dustin Brinkmann,Central,GTX,1096,retail,2001.0,718.62,2448.0,United States,
Z063OYW0,Darcel Schlecht,GTX Pro,Isdom,Won,2016-10-25,2017-03-11,4514.0,Melvin Marxen,Central,GTX,4821,medical,2002.0,3178.24,4540.0,United States,
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,2016-10-25,2017-03-07,50.0,Melvin Marxen,Central,MG,55,retail,2001.0,718.62,2448.0,United States,
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,2016-10-25,2017-03-09,588.0,Dustin Brinkmann,Central,GTX,550,software,1998.0,2714.9,2641.0,United States,Acme Corporation
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,2016-10-25,2017-03-02,517.0,Summer Sewald,West,GTX,550,services,1982.0,792.46,1299.0,United States,
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,2016-10-29,2017-03-01,49.0,Dustin Brinkmann,Central,MG,55,medical,1992.0,3922.42,6837.0,United States,
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,2016-10-30,2017-03-02,57.0,Celia Rouche,West,MG,55,retail,1989.0,1388.67,3583.0,United States,
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,2016-11-01,2017-03-07,601.0,Celia Rouche,West,GTX,550,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,2016-11-01,2017-03-03,1026.0,Melvin Marxen,Central,GTX,1096,medical,1984.0,441.08,1210.0,United States,
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,2016-11-03,,,Summer Sewald,West,MG,3393,,,,,,
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,2016-11-04,2017-03-10,53.0,Dustin Brinkmann,Central,MG,55,medical,2012.0,587.34,1356.0,Philipines,
KWVA7VR1,Gladys Colclough,GTX Pro,Genco Pura Olive Oil Company,Lost,2016-11-04,2017-03-18,0.0,Melvin Marxen,Central,GTX,4821,retail,2007.0,894.33,1635.0,Italy,
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,2016-11-04,2017-03-10,5169.0,Summer Sewald,West,GTX,5482,marketing,2008.0,894.37,1593.0,Poland,
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,2016-11-04,2017-03-06,4631.0,Summer Sewald,West,GTX,5482,telecommunications,1999.0,1699.85,5108.0,United States,
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,2016-11-05,2017-03-11,3393.0,Celia Rouche,West,MG,3393,employment,1988.0,2059.9,3644.0,United States,
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,Celia Rouche,West,MG,55,telecommunications,1999.0,1699.85,5108.0,United States,
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,Celia Rouche,West,MG,3393,software,1996.0,6354.87,16780.0,United States,Bubba Gump
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,Dustin Brinkmann,Central,MG,55,telecommunications,1988.0,5266.09,8595.0,United States,Sonron
902REDPA,Daniell Hammack,GTX Pro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,Rocco Neubert,East,GTX,4821,entertainment,1989.0,3838.39,8274.0,United States,
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,Celia Rouche,West,MG,55,telecommunications,1994.0,1188.42,3015.0,United States,
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,Summer Sewald,West,GTX,5482,retail,1990.0,4968.91,7523.0,United States,
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,Dustin Brinkmann,Central,MG,55,medical,1992.0,3922.42,6837.0,United States,
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,Cara Losch,East,GTX,1096,finance,1993.0,646.1,883.0,United States,Golddex
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,Melvin Marxen,Central,GTX,550,services,1997.0,2041.73,5276.0,United States,
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,Summer Sewald,West,GTX,550,entertainment,1992.0,324.19,978.0,United States,
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,,Summer Sewald,West,MG,3393,retail,1995.0,5158.71,17479.0,Japan,
