opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location,subsidiary_of
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,2016-10-20,2017-03-01,1054.0,Dustin Brinkmann,Central,GTX,1096,retail,2001.0,718.62,2448.0,United States,Unknown
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,Dustin Brinkmann,Central,GTX,1096,software,1982.0,4618.0,10083.0,United States,Unknown
SRFVQ0HG,Moses Frase,GTX Plus Basic,Codehow,Lost,2017-01-20,2017-03-24,0.0,Dustin Brinkmann,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
L33YUX9V,Moses Frase,GTX Plus Basic,Rangreen,Won,2017-02-06,2017-05-15,1068.0,Dustin Brinkmann,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
QKVUGRN9,Moses Frase,GTX Plus Basic,Rangreen,Lost,2017-02-22,2017-05-30,0.0,Dustin Brinkmann,Central,GTX,1096,technolgy,1987.0,2938.67,8775.0,Panama,Unknown
KGJL5GHX,Moses Frase,GTX Plus Basic,Condax,Won,2017-02-23,2017-06-06,956.0,Dustin Brinkmann,Central,GTX,1096,medical,2017.0,4.54,9.0,United States,Unknown
8L1ZHTPL,Moses Frase,GTX Plus Basic,Globex Corporation,Won,2017-03-03,2017-06-01,1020.0,Dustin Brinkmann,Central,GTX,1096,technolgy,2000.0,1223.72,2497.0,Norway,Unknown
Z4A1R9CJ,Moses Frase,GTX Plus Basic,Finhigh,Won,2017-04-06,2017-05-22,1147.0,Dustin Brinkmann,Central,GTX,1096,finance,2006.0,1102.43,1759.0,United States,Unknown
3AB31BUU,Moses Frase,GTX Plus Basic,Conecom,Won,2017-04-22,2017-04-27,1024.0,Dustin Brinkmann,Central,GTX,1096,technolgy,2005.0,1520.66,1806.0,United States,Unknown
TEKCKT3V,Moses Frase,GTX Plus Basic,Inity,Won,2017-05-07,2017-08-05,901.0,Dustin Brinkmann,Central,GTX,1096,marketing,1986.0,2403.58,8801.0,United States,Unknown
9HLQVY37,Moses Frase,GTX Plus Basic,Konmatfix,Lost,2017-06-05,2017-06-11,0.0,Dustin Brinkmann,Central,GTX,1096,marketing,1985.0,375.43,1190.0,United States,Unknown
8C3LOLPY,Moses Frase,GTX Plus Basic,Ron-tech,Lost,2017-06-05,2017-08-14,0.0,Dustin Brinkmann,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
VUYQCXTY,Moses Frase,GTX Plus Basic,Bioholding,Won,2017-06-09,2017-08-04,1017.0,Dustin Brinkmann,Central,GTX,1096,medical,2012.0,587.34,1356.0,Philipines,Unknown
7MK55ULJ,Moses Frase,GTX Plus Basic,Ron-tech,Won,2017-07-04,2017-07-05,1102.0,Dustin Brinkmann,Central,GTX,1096,medical,1992.0,3922.42,6837.0,United States,Unknown
S7T5AHQH,Moses Frase,GTX Plus Basic,Stanredtax,Won,2017-07-22,2017-07-23,1174.0,Dustin Brinkmann,Central,GTX,1096,finance,1987.0,1698.2,3798.0,United States,Unknown
283MDYKM,Moses Frase,GTX Plus Basic,Unknown,Engaging,2017-07-31,,,Dustin Brinkmann,Central,GTX,1096,Unknown,,,,Unknown,Unknown
ACGLK2YE,Moses Frase,GTX Plus Basic,Treequote,Engaging,2017-08-05,,,Dustin Brinkmann,Central,GTX,1096,telecommunications,1988.0,5266.09,8595.0,United States,Sonron
0VFBWUG5,Moses Frase,GTX Plus Basic,Codehow,Lost,2017-08-21,2017-11-03,0.0,Dustin Brinkmann,Central,GTX,1096,software,1998.0,2714.9,2641.0,United States,Acme Corporation
